herb,candidate,cook_count,cook_rank_inv,cook_pmi,fg_cosine,fdb_rank_inv,qi_diff,qi_B,wei_jac,gui_jac,mask_cook,mask_flavor,mask_qi,mask_wei,mask_gui,mask_prop,miss_qi,miss_wei,miss_gui,label_claude,label_llama,label_gpt
강황,생강,2.397895,0.5,1.073353,0.223363,1.0,3.0,1.0,0.5,0.0,1,1,1,1,1,1,0,0,0,1,1,1
강황,레몬,2.079442,0.125,0.075898,0.106677,0.0,1.0,-1.0,0.0,0.0,1,1,1,1,1,1,0,0,0,1,1,1
강황,마늘,1.098612,0.027027,0.0,0.118087,0.0,3.0,1.0,0.5,0.0,1,1,1,1,1,1,0,0,0,1,1,1
강황,시나몬,1.609438,0.055556,0.0,0.166472,0.125,4.0,2.0,0.333333,0.4,1,1,1,1,1,1,0,0,0,1,1,1
강황,당근,0.0,0.0,0.0,0.130279,0.166667,2.0,0.0,0.333333,0.2,0,1,1,1,1,1,0,0,0,0,1,1
강황,꿀,0.0,0.0,0.0,0.019832,0.0,2.0,0.0,0.0,0.0,1,1,1,1,1,1,0,0,0,1,0,0
강황,설탕,1.791759,0.111111,0.0,0.023119,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,닭고기,0.0,0.0,0.0,0.152615,0.0,3.0,1.0,0.0,0.0,1,1,1,1,1,1,0,0,0,0,1,1
강황,오렌지,0.693147,0.013333,0.177681,0.094919,0.0,2.0,0.0,0.0,0.0,1,1,1,1,1,1,0,0,0,0,0,0
강황,고수,2.302585,0.25,1.724318,0.310681,0.1,3.0,1.0,0.5,0.0,1,1,1,1,1,1,0,0,0,1,1,1
강황,사과,0.0,0.0,0.0,0.059046,0.0,1.0,-1.0,0.0,0.0,0,1,1,1,0,1,0,0,1,0,0,0
강황,양파,2.70805,1.0,0.565447,0.106704,0.0,3.0,1.0,0.333333,0.333333,1,1,1,1,1,1,0,0,0,1,1,1
강황,넛맥,0.0,0.0,0.0,0.130098,0.071429,3.0,1.0,0.5,0.0,1,1,1,1,1,1,0,0,0,0,0,0
강황,후추,0.0,0.0,0.0,0.154877,0.25,4.0,2.0,0.5,0.0,0,1,1,1,1,1,0,0,0,1,1,1
강황,정향,0.0,0.0,0.0,0.25507,0.0,3.0,1.0,0.5,0.0,0,1,1,1,1,1,0,0,0,0,0,0
강황,간장,0.0,0.0,0.0,0.143258,0.0,3.0,1.0,0.0,0.0,1,1,1,1,1,1,0,0,0,0,0,0
강황,바질,0.693147,0.016129,0.0,0.150848,0.066667,3.0,1.0,0.333333,0.0,1,1,1,1,1,1,0,0,0,0,0,0
강황,카다멈,0.0,0.0,0.0,0.273895,0.0,3.0,1.0,0.5,0.0,1,1,1,1,1,1,0,0,0,1,1,1
강황,버터,2.079442,0.166667,0.0,0.045843,0.0,0.0,-2.0,0.0,0.0,1,1,1,1,0,1,0,0,1,0,0,0
강황,로즈마리,0.0,0.0,0.0,0.165887,0.5,3.0,1.0,0.5,0.0,1,1,1,1,0,1,0,0,1,0,0,0
강황,고추,1.098612,0.021739,0.95784,0.11058,0.0,4.0,2.0,0.5,0.0,1,1,1,1,1,1,0,0,0,1,0,1
강황,바닐라,0.0,0.0,0.0,0.048447,0.0,1.0,-1.0,0.5,0.25,1,1,1,1,1,1,0,0,0,0,0,0
강황,올리브오일,1.386294,0.035714,0.0,0.088114,0.0,2.0,0.0,0.0,0.0,1,1,1,1,1,1,0,0,0,0,1,0
