ingredient,raw,n_sources,herb_hits,mapped,CHP_ID,chinese,english,how,note,formula_n,has_props,review_needed,review_note,ambiguous,alt_candidates,norm_how
생강,생강,5,48,Y,CHP03683,生姜,Ginger,한자사전,생강→生姜,147,Y,N,,N,,원형
레몬,lemon peel|레몬|레몬제스트|레몬즙,5,45,Y,CHP02967,柠檬,Lemon,한자사전,레몬→柠檬,0,Y,N,,N,,동의어|영문사전|원형
마늘,마늘,4,42,Y,CHP00557,大蒜,Allium sativum,한자사전,마늘→大蒜,19,Y,N,,N,,원형
시나몬,시나몬,5,38,Y,CHP03344,肉桂,Chinese Cinnamon,한자사전,시나몬→肉桂,498,Y,N,,N,,원형
당근,당근,5,33,Y,CHP01517,胡萝卜,Carrot,한자사전,당근→胡萝卜,0,Y,N,,N,,원형
꿀,꿀,4,30,Y,CHP05807,蜂蜜,Honey,한자사전,꿀→蜂蜜,67,Y,N,,N,,원형
설탕,설탕|흑설탕,4,28,Y,CHP06212,白糖,Saccharum officinarum,한자사전,설탕→白糖,0,N,N,,N,,동의어|원형
닭고기,닭가슴살|닭고기|닭고기(구이),4,27,Y,CHP05882,鸡肉,Chicken Meat,한자사전,닭고기→鸡肉,1,Y,N,,N,,괄호제거|동의어|원형
오렌지,orange zest|오렌지|오렌지껍질|오렌지제스트,5,27,Y,CHP02035,橘子,Mandarin Orange,한자사전,오렌지→橘子,0,Y,N,,N,,동의어|영문사전|원형
고수,고수|고수(코리앤더)|고수씨|고수씨드,5,26,Y,CHP04901,芫荽,Coriandrum sativum,한자사전,고수→胡荽,7,Y,N,,N,,괄호제거|동의어|원형
사과,cooking apple|사과,5,24,Y,CHP03113,苹果,Malus pumila,한자사전,사과→苹果,2,Y,N,,N,,영문사전|원형
양파,양파,4,23,Y,CHP04992,洋葱,Allium cepa,한자사전,양파→洋葱,1,Y,N,,N,,원형
넛맥,넛맥|육두구,5,23,Y,CHP03342,肉豆蔻,Myristica fragrans,한자사전,넛맥→肉豆蔻,145,Y,N,,N,,동의어|원형
후추,백후추|통후추|후추,5,21,Y,CHP01515,胡椒,Piper nigrum,한자사전,후추→胡椒,46,Y,N,,N,,동의어|원형
정향,정향,5,19,Y,CHP00779,丁香,Clove,한자사전,정향→丁香,333,Y,N,,N,,원형
간장,간장,4,19,Y,CHP00375,豉汁,Soybean,한자사전,간장→豉汁,0,Y,Y,"豉汁=두시즙 — 현대 간장과 다름, 방제 0회",N,,원형
바질,바질,5,19,Y,CHP02502,罗勒,Ocimum basilicum,한자사전,바질→罗勒,3,Y,N,,N,,원형
카다멈,cardamom|카다멈,5,18,Y,CHP00844,豆蔻,Elettaria cardamomum,한자사전,카다멈→豆蔻,204,Y,N,,N,,영문사전|원형
버터,버터,3,17,Y,CHP06016,酥油,Cattle Oil,한자사전,버터→酥油,0,Y,Y,酥油=Cattle Oil(수유) — 유지방이나 버터와 정확히 동일하진 않음,N,,원형
로즈마리,로즈마리,5,17,Y,CHP02781,迷迭香,Salvia rosmarinus,한자사전,로즈마리→迷迭香,0,Y,N,,N,,원형
고추,고추|고춧가루,5,17,Y,CHP02172,辣椒,Capsicum annuum,한자사전,고추→辣椒,31,Y,N,,N,,동의어|원형
바닐라,바닐라,4,16,Y,CHP04551,香草兰,Vanilla planifolia,한자사전,바닐라→香草兰,1,Y,Y,香草兰=Vanilla planifolia 정확하나 방제 1회로 사실상 미사용,N,,원형
올리브오일,올리브오일,4,16,Y,CHP01138,橄榄,Chinese Olive,한자사전,올리브오일→橄榄,1,Y,N,,N,,원형
셀러리,셀러리|셀러리악(뿌리셀러리),5,15,Y,CHP01350,旱芹,Apium graveolens,한자사전,셀러리→芹菜,0,Y,N,,N,,괄호제거+동의어|원형
대파,대파|리크(대파)|쪽파,4,15,Y,CHP00458,葱白,Welsh Onion,한자사전,대파→葱白,1,Y,N,,N,,괄호제거+동의어|동의어|원형
코코넛밀크,coconut milk|코코넛밀크,4,15,Y,CHP05008,椰子浆,Coconut,한자사전,코코넛밀크→椰子浆,1,Y,N,,N,,영문사전|원형
민트,민트|스피어민트|콘민트|페퍼민트,4,15,Y,CHP00216,薄荷,Mentha x piperita,한자사전,민트→薄荷,846,Y,N,,N,,동의어|원형
팔각,팔각,4,15,Y,CHP00030,八角茴香,Illicium verum,한자사전,팔각→八角茴香,39,Y,N,,N,,원형
토마토,토마토,4,14,Y,CHP00989,番茄,Solanum lycopersicum,한자사전,토마토→番茄,0,Y,N,,N,,원형
돼지고기,돼지갈비|돼지고기|돼지고기(폭찹구이)|삼겹살,3,14,N,,,,실패,,0,N,N,,N,,괄호제거|동의어|원형
호두,호두,4,13,Y,CHP01367,核桃仁,English Walnut,한자사전,호두→核桃仁,48,Y,N,,N,,원형
월계수,월계수|월계수잎,4,13,Y,CHP05320,月桂叶,Bay Leaf,한자사전,월계수→月桂叶,0,Y,N,,N,,동의어|원형
배,배,3,13,Y,CHP02265,梨子,Pyrus pyrifolia,한자사전,배→梨,8,Y,N,,N,,원형
