recipenlg_어휘,flavorgraph_노드,매칭방식,recipenlg_빈도,부분후보
salt,salt,정확,849144,
sugar,sugar,정확,565649,
butter,butter,정확,461940,
flour,flour,정확,448474,
eggs,egg,정확(수),398023,
onion,onion,정확,367725,
garlic,garlic,정확,342766,
milk,milk,정확,335464,
water,water,정확,311607,
vanilla,vanilla,정확,258346,
olive oil,olive_oil,정확,187705,
pepper,pepper,정확,175360,
brown sugar,brown_sugar,정확,169368,
tomatoes,,부분(미승인),159746,diced_tomatoes_with_mild_green_chilies|ro_tel_diced_tomatoes_with_pepper|diced_tomatoes_with_juice
egg,egg,정확,157925,
baking powder,baking_powder,정확,147805,
lemon juice,lemon_juice,정확,143697,
sour cream,sour_cream,정확,115808,
cinnamon,cinnamon,정확,115145,
Salt,salt,정확,114219,
cream cheese,cream_cheese,정확,113478,
celery,celery,정확,110384,
baking soda,baking_soda,정확,110333,
margarine,margarine,정확,109464,
parsley,parsley,정확,100172,
chicken,chicken,정확,98198,
onions,onion,정확(수),98117,
vegetable oil,vegetable_oil,정확,89135,
oil,oil,정확,84303,
mayonnaise,mayonnaise,정확,84179,
pecans,pecan,정확(수),78346,
nuts,nut,정확(수),77822,
potatoes,,부분(미승인),75443,scalloped_potatoes_mix|simply_potatoes_shredded_hash_brown|simply_potatoes_diced_potatoes_with_onion
carrots,carrot,정확(수),75059,
pineapple,pineapple,정확,73101,
black pepper,black_pepper,정확,67585,
soy sauce,soy_sauce,정확,67422,
thyme,thyme,정확,66199,
mustard,mustard,정확,65149,
chicken broth,chicken_broth,정확,64504,
bacon,bacon,정확,64194,
ground beef,ground_beef,정확,64013,
oregano,oregano,정확,63226,
honey,honey,정확,63033,
mushrooms,mushroom,정확(수),60979,
Worcestershire sauce,worcestershire_sauce,정확,58966,
unsalted butter,unsalted_butter,정확,58423,
green pepper,green_pepper,정확,58248,
Cheddar cheese,cheddar_cheese,정확,57928,
cornstarch,cornstarch,정확,57038,
vinegar,vinegar,정확,55952,
paprika,paprika,정확,55161,
green onions,green_onion,정확(수),53953,
red pepper,red_pepper,정확,53319,
powdered sugar,powdered_sugar,정확,52326,
shortening,shortening,정확,51343,
nutmeg,nutmeg,정확,50903,
ground cinnamon,ground_cinnamon,정확,49343,
chicken breasts,chicken_breast,정확(수),48868,
lemon,lemon,정확,48867,
walnuts,walnut,정확(수),48400,
Parmesan cheese,parmesan_cheese,정확,48387,
rice,rice,정확,48032,
kosher salt,kosher_salt,정확,47459,
basil,basil,정확,46304,
raisins,raisin,정확(수),45212,
cheddar cheese,cheddar_cheese,정확,45103,
buttermilk,buttermilk,정확,44588,
chili powder,chili_powder,정확,44460,
soda,,부분(미승인),42868,strawberry_soda|soda_water|mountain_dew_soda
heavy cream,heavy_cream,정확,42341,
Butter,butter,정확,41572,
orange juice,orange_juice,정확,41539,
red onion,red_onion,정확,41074,
clove garlic,,부분(미승인),40088,garlic|clove
tomato sauce,tomato_sauce,정확,40081,
ginger,ginger,정확,39848,
white wine,white_wine,정확,39594,
cocoa,cocoa,정확,39201,
cheese,cheese,정확,38376,
bread,bread,정확,38345,
white sugar,white_sugar,정확,38188,
Sugar,sugar,정확,37786,
coconut,coconut,정확,37281,
zucchini,zucchini,정확,37094,
lime juice,lime_juice,정확,35815,
cream of mushroom soup,cream_of_mushroom_soup,정확,35442,
peanut butter,peanut_butter,정확,35228,
bread crumbs,,부분(미승인),35181,bread
chocolate chips,chocolate_chip,정확(수),35014,
boiling water,boiling_water,정확,34640,
parmesan cheese,parmesan_cheese,정확,34552,
ground cumin,ground_cumin,정확,34401,
shrimp,shrimp,정확,34362,
carrot,carrot,정확,34175,
cayenne pepper,cayenne_pepper,정확,34140,
cream of chicken soup,cream_of_chicken_soup,정확,32659,
egg yolks,egg_yolk,정확(수),32535,
egg whites,egg_white,정확(수),32486,
almonds,almond,정확(수),32196,
bananas,banana,정확(수),31674,
apples,apple,정확(수),30981,
cilantro,cilantro,정확,30739,
extra-virgin olive oil,,부분(미승인),30644,olive|oil
ground black pepper,ground_black_pepper,정확,30291,
tomato,tomato,정확,30248,
extra virgin olive oil,extra_virgin_olive_oil,정확,29251,
tomato paste,tomato_paste,정확,28795,
canola oil,canola_oil,정확,27978,
Garlic,garlic,정확,27864,
corn,corn,정확,27595,
cream,cream,정확,26161,
oleo,oleo,정확,26158,
fresh cilantro,fresh_cilantro,정확,25760,
ketchup,ketchup,정확,25124,
green onion,green_onion,정확,24543,
fresh basil,fresh_basil,정확,24095,
yeast,yeast,정확,24050,
red bell pepper,red_bell_pepper,정확,23993,
cold water,cold_water,정확,23748,
broccoli,broccoli,정확,23564,
Water,water,정확,23455,
marshmallows,marshmallow,정확(수),23271,
bay leaf,bay_leaf,정확,23222,
mozzarella cheese,mozzarella_cheese,정확,22945,
scallions,scallion,정확(수),22520,
Kosher salt,kosher_salt,정확,22409,
Milk,milk,정확,22281,
rosemary,rosemary,정확,22144,
chocolate,chocolate,정확,22049,
garlic powder,garlic_powder,정확,22013,
whipping cream,whipping_cream,정확,21756,
ground ginger,ground_ginger,정확,21253,
cumin,cumin,정확,21214,
Vanilla,vanilla,정확,21074,
freshly ground black pepper,,부분(미승인),20951,pepper
red wine vinegar,red_wine_vinegar,정확,20786,
cabbage,cabbage,정확,20718,
Flour,flour,정확,20675,
condensed milk,condensed_milk,정확,20644,
Eggs,egg,정확(수),20576,
cloves,clove,정확(수),20529,
shallots,shallot,정확(수),20477,
garlic salt,garlic_salt,정확,20167,
ground nutmeg,ground_nutmeg,정확,20064,
Olive Oil,olive_oil,정확,19921,
green beans,green_bean,정확(수),19917,
beans,bean,정확(수),19794,
sausage,sausage,정확,19662,
balsamic vinegar,balsamic_vinegar,정확,19373,
ham,ham,정확,19157,
cucumber,cucumber,정확,18997,
